# One quote per line: quote | attribution
Among the world's top 2% of scientists. | Stanford–Elsevier global research rankings
After 20 years he still hasn't learned how to stack the dishwasher correctly. | Michiko Browne
Ranked among the top 200 specialists in his field. | Stanford–Elsevier global research rankings
When he was 14 he was nothing but a bully to me. | Sean Browne (do not trust)
Nominated for the Vice Chancellor's Award for Research Excellence. | CQUniversity
Vell, he's just zis guy, you know? | Private brain care specialist to Zaphod Beeblebrox · Gag Halfrunt
To me, he's like a mentor, a role-model and a father-figure, all rolled into one. | Dr Chris Kavanagh, co-host
Honorable mention in the 1983 Slacks Creek State School Easter Hat Parade. | Principal Pam Liddel
Matthew has satisfied all the requirements for the award of Orange Belt. | Ken White, Sensei, Shotokan Karate Loganholme
He's fine. Mostly isn't a hassle to work with. | Prof Matthew J. Rockloff, Head Experimental Gambling Laboratory
Who is Matthew Browne? | Eric Weinstein · Renowned Physicist
